Grupa wiekowa;Rok;Populacja
0-19;1995;11914891
20-39;1995;11115767
40-59;1995;9450049
60+;1995;9648774
0-19;1996;11690912
20-39;1996;11074710
40-59;1996;9670238
60+;1996;9783756
0-19;1997;11461996
20-39;1997;11025094
40-59;1997;9903557
60+;1997;9966216
0-19;1998;11204176
20-39;1998;10998089
40-59;1998;10131205
60+;1998;10189819
0-19;1999;10915630
20-39;1999;10779960
40-59;1999;10201111
60+;1999;10359973
0-19;2000;10636821
20-39;2000;10837319
40-59;2000;10357371
60+;2000;10612359
0-19;2001;10356628
20-39;2001;10923179
40-59;2001;10499117
60+;2001;10888547
0-19;2002;10035440
20-39;2002;11058268
40-59;2002;10641192
60+;2002;11172195
0-19;2003;9685837
20-39;2003;11229439
40-59;2003;10774363
60+;2003;11452035
0-19;2004;9357711
20-39;2004;11400111
40-59;2004;10886219
60+;2004;11736609
0-19;2005;9058458
20-39;2005;11560473
40-59;2005;10978304
60+;2005;12033939
0-19;2006;8810480
20-39;2006;11669134
40-59;2006;10942532
60+;2006;12319020
0-19;2007;8609157
20-39;2007;11762682
40-59;2007;10865239
60+;2007;12596775
0-19;2008;8449733
20-39;2008;11841301
40-59;2008;10765828
60+;2008;12857259
0-19;2009;8311840
20-39;2009;11908465
40-59;2009;10664295
60+;2009;13084705
0-19;2010;8280106
20-39;2010;12012276
40-59;2010;10694915
60+;2010;13390289
0-19;2011;8133701
20-39;2011;12020565
40-59;2011;10587619
60+;2011;13562022
0-19;2012;8015276
20-39;2012;11977704
40-59;2012;10495087
60+;2012;13701883
0-19;2013;7895735
20-39;2013;11891231
40-59;2013;10415934
60+;2013;13828877
0-19;2014;7802648
20-39;2014;11765848
40-59;2014;10362325
60+;2014;13954101
0-19;2015;7732280
20-39;2015;11592066
40-59;2015;10309939
60+;2015;14048306
0-19;2016;7693130
20-39;2016;11392912
40-59;2016;10291734
60+;2016;14144506
0-19;2017;7689955
20-39;2017;11180205
40-59;2017;10269806
60+;2017;14221868
0-19;2018;7690235
20-39;2018;10947497
40-59;2018;10265023
60+;2018;14291822
0-19;2019;7690007
20-39;2019;10686827
40-59;2019;10301997
60+;2019;14373404
0-19;2020;7672644
20-39;2020;10418299
40-59;2020;10373837
60+;2020;14405699
