Player;Club;Age;Position;Nation;Value;League;MP;Min;Gls;Ast;Yellow Cards;Red Cards;Total Shots;Total Shots on Target;Goal Creating Actions;Touches;Total Successful Dribbles;Total Tackles Won
Kylian Mbappe;Paris Saint-Germain;22;attack;France;144000000;Ligue 1;31;2380;27;7;5;0;98;47;28;1442;88;5
Erling Haaland;Borussia Dortmund;21;attack;Norway;117000000;Bundesliga;28;2407;27;6;2;0;90;47;16;762;28;6
Harry Kane;Tottenham Hotspur;28;attack;England;108000000;Premier League;35;3082;23;14;1;0;134;47;25;1396;46;12
Jadon Sancho;Manchester United;21;attack;England;90000000;Premier League;26;2062;8;11;0;0;51;15;22;1791;91;11
Mohamed Salah;Liverpool FC;29;attack;Egypt;90000000;Premier League;37;3078;22;5;0;0;120;46;14;1758;50;13
Neymar;Paris Saint-Germain;29;attack;Brazil;90000000;Ligue 1;18;1415;9;5;7;2;64;16;16;1337;97;10
Kevin De Bruyne;Manchester City;30;midfield;Belgium;90000000;Premier League;25;1997;6;12;1;0;79;25;19;1683;40;31
Romelu Lukaku;Chelsea FC;28;attack;Belgium;90000000;Premier League;36;2884;24;11;4;0;89;42;24;1172;38;5
Joshua Kimmich;Bayern Munich;26;midfield;Germany;81000000;Bundesliga;27;2194;4;10;4;0;37;14;17;2376;22;34
Bruno Fernandes;Manchester United;26;midfield;Portugal;81000000;Premier League;37;3099;18;12;6;0;110;40;27;2705;26;39
Frenkie de Jong;FC Barcelona;24;midfield;Netherlands;81000000;La Liga;37;3154;3;4;5;0;17;6;7;3090;48;26
Raheem Sterling;Manchester City;26;attack;England;81000000;Premier League;31;2536;10;7;4;0;67;28;15;1478;69;18
Son Heung-min;Tottenham Hotspur;29;attack;Korea, South;76500000;Premier League;37;3114;17;10;0;0;68;35;15;1539;38;17
Marcus Rashford;Manchester United;23;attack;England;76500000;Premier League;37;2920;11;9;4;0;79;36;18;1638;88;10
Sadio Mane;Liverpool FC;29;attack;Senegal;76500000;Premier League;35;2810;11;7;3;0;93;35;12;1590;84;32
Phil Foden;Manchester City;21;attack;England;72000000;Premier League;28;1616;9;5;0;0;45;20;14;1069;43;16
Lionel Messi;Paris Saint-Germain;34;attack;Argentina;72000000;Ligue 1;35;3023;30;9;4;0;190;85;38;2918;149;16
Joao Felix;Atlético de Madrid;21;attack;Portugal;72000000;La Liga;31;1572;7;5;6;0;36;14;10;906;34;6
Marcos Llorente;Atlético de Madrid;26;midfield;Spain;72000000;La Liga;37;2956;12;11;6;0;49;22;15;1733;38;44
Lautaro Martinez;Inter Milan;24;attack;Argentina;72000000;Serie A;38;2561;17;6;5;0;108;36;15;1026;37;18
Pedri;FC Barcelona;18;midfield;Spain;72000000;La Liga;37;2415;3;3;2;0;25;7;8;2023;25;34
Matthijs de Ligt;Juventus FC;22;Defender;Netherlands;67500000;Serie A;27;2220;1;1;4;0;19;6;5;1923;5;19
Trent Alexander-Arnold;Liverpool FC;22;Defender;England;67500000;Premier League;36;3031;2;7;2;0;56;11;13;3259;38;36
Marquinhos;Paris Saint-Germain;27;Defender;Brazil;67500000;Ligue 1;25;2128;3;1;2;0;15;8;5;1934;2;18
Ruben Dias;Manchester City;24;Defender;Portugal;67500000;Premier League;32;2843;1;0;4;0;14;7;2;2921;3;21
Mason Mount;Chelsea FC;22;midfield;England;67500000;Premier League;36;2890;6;5;2;0;82;26;14;2293;50;44
Serge Gnabry;Bayern Munich;26;attack;Germany;63000000;Bundesliga;27;1644;10;2;4;0;59;27;11;1110;36;23
Bernardo Silva;Manchester City;27;midfield;Portugal;63000000;Premier League;26;2065;2;6;5;0;28;13;10;1618;41;21
Federico Chiesa;Juventus FC;23;attack;Italy;63000000;Serie A;33;2450;9;9;3;1;69;26;17;1258;43;42
Raphael Varane;Manchester United;28;Defender;France;63000000;Premier League;31;2715;2;0;2;0;17;4;0;2013;7;12
Alphonso Davies;Bayern Munich;20;Defender;Canada;63000000;Bundesliga;23;1763;1;2;2;1;4;3;5;1769;59;38
Rodri;Manchester City;25;midfield;Spain;63000000;Premier League;34;2748;2;2;6;0;31;7;8;3023;29;60
Leon Goretzka;Bayern Munich;26;midfield;Germany;63000000;Bundesliga;24;1705;5;5;2;0;41;13;14;1279;12;28
Kai Havertz;Chelsea FC;22;midfield;Germany;63000000;Premier League;27;1520;4;3;2;0;35;15;8;995;22;11
Mikel Oyarzabal;Real Sociedad;24;attack;Spain;63000000;La Liga;33;2408;11;8;1;0;58;22;19;1291;30;18
Jan Oblak;Atlético de Madrid;28;Goalkeeper;Slovenia;63000000;La Liga;38;3420;0;0;0;0;0;0;1;1077;1;0
Sergej Milinkovic-Savic;SS Lazio;26;midfield;Serbia;63000000;Serie A;32;2746;8;9;4;0;64;21;16;2229;25;46
Casemiro;Real Madrid;29;midfield;Brazil;63000000;La Liga;34;2901;6;4;11;1;45;11;8;2370;16;56
Declan Rice;West Ham United;22;midfield;England;63000000;Premier League;32;2879;2;1;2;0;24;7;3;1800;33;53
Andrew Robertson;Liverpool FC;27;Defender;Scotland;58500000;Premier League;38;3383;1;7;2;0;19;5;15;3543;29;28
Kingsley Coman;Bayern Munich;25;attack;France;58500000;Bundesliga;29;1752;5;10;1;0;52;19;18;1145;66;12
Bukayo Saka;Arsenal FC;19;midfield;England;58500000;Premier League;32;2553;5;3;1;0;61;21;12;1554;42;19
Gianluigi Donnarumma;Paris Saint-Germain;22;Goalkeeper;Italy;58500000;Ligue 1;37;3330;0;0;1;0;0;0;0;1338;2;0
Timo Werner;Chelsea FC;25;attack;Germany;58500000;Premier League;35;2602;6;8;2;0;80;31;19;1176;30;18
Federico Valverde;Real Madrid;23;midfield;Uruguay;58500000;La Liga;24;1330;3;1;0;0;23;8;4;914;25;19
Jack Grealish;Manchester City;25;attack;England;58500000;Premier League;26;2185;6;10;6;0;49;17;21;1423;61;19
Nicolo Barella;Inter Milan;24;midfield;Italy;58500000;Serie A;36;2896;3;7;5;0;36;9;12;2246;39;41
Alessandro Bastoni;Inter Milan;22;Defender;Italy;54000000;Serie A;33;2922;0;3;6;0;11;2;4;2536;7;26
Leroy Sane;Bayern Munich;25;attack;Germany;54000000;Bundesliga;32;1805;6;9;2;0;58;21;21;1168;74;21
Ansu Fati;FC Barcelona;18;attack;Spain;54000000;La Liga;7;431;4;0;1;0;14;7;2;278;15;3
Marc-Andre ter Stegen;FC Barcelona;29;Goalkeeper;Germany;54000000;La Liga;31;2790;0;0;1;0;1;0;0;1091;0;0
Thibaut Courtois;Real Madrid;29;Goalkeeper;Belgium;54000000;La Liga;38;3420;0;0;0;0;0;0;0;1391;0;0
Jose Maria Gimenez;Atlético de Madrid;26;Defender;Uruguay;54000000;La Liga;21;1765;0;0;5;0;15;5;0;1270;1;15
Milan Skriniar;Inter Milan;26;Defender;Slovakia;54000000;Serie A;32;2777;3;0;1;0;15;6;0;2455;6;28
Paul Pogba;Manchester United;28;midfield;France;54000000;Premier League;26;1897;3;3;3;0;31;11;7;1657;45;26
Koke;Atlético de Madrid;29;midfield;Spain;54000000;La Liga;37;3021;1;2;9;0;17;7;6;2766;28;53
Antoine Griezmann;Atlético de Madrid;30;attack;France;54000000;La Liga;36;2604;13;7;4;0;68;30;10;1618;25;28
Jules Kounde;Sevilla FC;22;Defender;France;54000000;La Liga;34;2975;2;1;4;0;21;6;3;2691;32;23
Achraf Hakimi;Paris Saint-Germain;22;Defender;Morocco;54000000;Ligue 1;37;2665;7;8;6;0;38;15;18;1862;37;29
Dayot Upamecano;Bayern Munich;22;Defender;France;54000000;Bundesliga;29;2330;1;0;6;0;12;6;1;2438;10;31
Wilfred Ndidi;Leicester City;24;midfield;Nigeria;54000000;Premier League;26;2176;1;4;6;0;16;1;8;1710;11;73
Robert Lewandowski;Bayern Munich;33;attack;Poland;54000000;Bundesliga;29;2458;41;7;4;0;130;56;18;1050;25;13
Alisson;Liverpool FC;28;Goalkeeper;Brazil;54000000;Premier League;33;2970;1;0;1;0;1;1;0;1227;3;0
Gabriel Jesus;Manchester City;24;attack;Brazil;54000000;Premier League;29;2063;9;4;2;0;54;16;11;1031;45;13
Fabinho;Liverpool FC;27;midfield;Brazil;54000000;Premier League;30;2567;0;0;6;0;10;1;4;2334;5;51
Eduardo Camavinga;Real Madrid;18;midfield;France;49500000;La Liga;35;2402;1;2;6;0;26;8;4;1968;49;70
Joao Cancelo;Manchester City;27;Defender;Portugal;49500000;Premier League;28;2299;2;3;5;1;35;11;10;2402;50;44
Franck Kessie;AC Milan;24;midfield;Cote d'Ivoire;49500000;Serie A;37;3226;13;4;8;0;36;8;10;2440;48;44
Jude Bellingham;Borussia Dortmund;18;midfield;England;49500000;Bundesliga;29;1697;1;3;6;1;34;9;7;1355;31;37
Richarlison;Everton FC;24;attack;Brazil;49500000;Premier League;34;2861;7;3;4;1;82;32;9;1219;62;30
Youri Tielemans;Leicester City;24;midfield;Belgium;49500000;Premier League;38;3357;6;4;6;0;47;18;16;2925;40;56
